ticker,upward_runs_count,upward_total_days,upward_longest_streak,upward_avg_length,downward_runs_count,downward_total_days,downward_longest_streak,downward_avg_length,total_runs,momentum_score,analysis_date
AAPL,61,134,8,2.19672131147541,60,114,8,1.9,121,1,2025-09-18 11:21:59
MSFT,68,136,8,2.0,67,113,5,1.6865671641791045,135,1,2025-09-18 11:21:59
GOOGL,62,137,10,2.2096774193548385,62,111,6,1.7903225806451613,124,0,2025-09-18 11:21:59
AMZN,65,131,6,2.0153846153846153,65,118,7,1.8153846153846154,130,0,2025-09-18 11:21:59
TSLA,59,124,7,2.1016949152542375,58,125,6,2.1551724137931036,117,1,2025-09-18 11:21:59
NVDA,70,136,6,1.9428571428571428,70,113,5,1.6142857142857143,140,0,2025-09-18 11:21:59
META,63,130,20,2.0634920634920637,63,119,7,1.8888888888888888,126,0,2025-09-18 11:21:59
NFLX,63,138,11,2.1904761904761907,62,111,6,1.7903225806451613,125,1,2025-09-18 11:21:59
