ticker,current_price,sma_5,sma_10,sma_20,sma_50,analysis_date,signal_vs_sma5,signal_vs_sma20
AAPL,238.99000549316406,235.58800048828124,235.64300079345702,232.74749984741212,222.6220831298828,2025-09-18 11:21:59,BUY,BUY
MSFT,510.0199890136719,509.0659973144531,504.5279998779297,505.0740020751953,510.69318725585936,2025-09-18 11:21:59,BUY,BUY
GOOGL,249.52999877929688,246.69400024414062,241.31924285888672,225.30752487182616,205.50900939941405,2025-09-18 11:21:59,BUY,BUY
AMZN,231.6199951171875,231.0399963378906,232.76199798583986,229.99599914550782,227.37859954833985,2025-09-18 11:21:59,BUY,BUY
TSLA,425.8599853515625,404.45399780273436,375.2799987792969,356.3994995117188,335.53159912109373,2025-09-18 11:21:59,BUY,BUY
NVDA,170.2899932861328,175.58200073242188,173.29418029785157,175.00710678100586,175.01852142333985,2025-09-18 11:21:59,SELL,SELL
META,775.719970703125,765.1820068359375,759.6990051269531,752.7674957275391,744.6605981445313,2025-09-18 11:21:59,BUY,BUY
NFLX,1228.5,1204.6419921875,1228.0229858398438,1222.6299865722656,1215.3113940429687,2025-09-18 11:21:59,BUY,BUY
