Date,Close,High,Low,Open,Volume,Ticker,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,,MSFT,MSFT,MSFT,MSFT,MSFT,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,AMZN,AMZN,AMZN,AMZN,AMZN,TSLA,TSLA,TSLA,TSLA,TSLA,NVDA,NVDA,NVDA,NVDA,NVDA,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX
2024-09-18,219.66766357421875,221.67831024616868,216.5322467283196,216.54221012404864,59894900.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,227.80975341796875,228.75536468744528,223.58940496515828,223.94773787040657,66781300.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-20,227.1428680419922,232.01021467188832,226.56555305015522,228.90467282845125,318679900.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-23,225.4208984375,228.3870895913876,224.76395218553373,226.28686337720748,54146000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-24,226.31671142578125,228.28755007923567,224.6843092769655,227.59078065470555,43556100.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-25,225.3213348388672,226.23707111110926,222.9822303399746,223.88800321688734,42308700.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-26,226.4660186767578,227.44147457763864,224.36579263659118,226.24703661091274,36636700.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-27,226.73477172851562,228.4567685573237,226.24705134037433,227.40168136489095,34026000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-30,231.92063903808594,231.92063903808594,228.58615167195362,228.97434440874213,54541900.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-01,225.16209411621094,228.5861456381701,222.70353511874544,228.45675818805825,63285000.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-02,225.7294464111328,226.31670960653594,221.98686997976517,224.84356992020335,32880600.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-03,224.62457275390625,225.75929105016726,222.28546833703504,224.09702921544027,34044200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-04,225.74935913085938,226.9437971307691,223.09172964492672,226.8442543024003,37245100.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-07,220.6630401611328,224.64451046166124,220.3047072265611,223.4600206171574,39505400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-08,224.72413635253906,224.93315503301397,222.2158058701156,223.26094483680066,31855700.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-09,228.47666931152344,228.68570318762718,223.78849648056692,224.1866374402548,33591100.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-10,227.97898864746094,228.43686442668115,226.11765609380726,226.72483093793394,28183500.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-11,226.49588012695312,228.34726430462075,226.28684626691359,228.23777327090536,31759200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-14,230.228515625,230.65651637799863,227.54102629778745,227.64055393917852,39882100.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-15,232.76669311523438,236.38983016358188,231.29353829774286,232.527799450427,64751400.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-16,230.70628356933594,231.0447048824563,228.7752681420796,230.52712470524975,34082200.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-17,231.07456970214844,232.76670668063704,229.4521309302649,232.348638945834,32993800.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10-18,233.91136169433594,235.0858880500012,232.92594240501305,235.0858880500012,46431500.0,AAPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
