ticker,total_return_pct,avg_daily_return,daily_volatility,annualized_return,annualized_volatility,sharpe_ratio,max_daily_gain,max_daily_loss,positive_days,negative_days,win_rate,analysis_date
AAPL,8.796170362333235,0.0005437566289641942,0.020418812995471557,13.702667049897693,32.413860751890944,0.4227409735231344,15.32884745965402,-9.245607048480542,134,114,53.6,2025-09-18 11:21:59
MSFT,19.275078702702547,0.0008284989495434336,0.015622149906270056,20.878173528494525,24.799394157696945,0.8418824022769364,10.13368660410667,-6.180897351859607,136,113,54.400000000000006,2025-09-18 11:21:59
GOOGL,56.8302471468231,0.00201261458944838,0.02027503202063374,50.71788765409918,32.18561553028096,1.5757936214201849,9.682114657847315,-7.2923682522426505,137,111,54.800000000000004,2025-09-18 11:21:59
AMZN,24.239663260619114,0.001095307865340304,0.02121197276129597,27.60175820657566,33.672962846079116,0.8197009076018866,11.977031526306256,-8.979129298487255,131,118,52.400000000000006,2025-09-18 11:21:59
TSLA,87.43837635199286,0.0035092858961656656,0.04488662972737882,88.43400458337477,71.25531567029,1.2410864193286768,22.68998983962453,-15.426206822195121,124,125,49.6,2025-09-18 11:21:59
NVDA,50.25036061028967,0.0021285990479424596,0.031362255308439384,53.64069600814998,49.786036860147554,1.077424502754265,18.722734161151497,-16.968159946784855,136,113,54.400000000000006,2025-09-18 11:21:59
META,44.555119860201394,0.001741594631225112,0.023067730502453955,43.88818470687282,36.61888693209132,1.1985122537520654,14.755606314056497,-8.9582649258825,130,119,52.0,2025-09-18 11:21:59
NFLX,77.92229236978748,0.002531411048911437,0.02086225333440425,63.79155843256821,33.11780046675701,1.9262015451962433,11.087033742104218,-8.533483935832642,138,111,55.2,2025-09-18 11:21:59
