Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
2022-09-15,239.42401123046875,245.29787987720312,238.09702127641052,243.7074542260417,31530900
2022-09-16,238.79954528808594,239.34595028666865,236.1845879383292,238.3311853849411,39791800
2022-09-19,238.5849151611328,239.18986150437627,235.0039966821536,236.58467061820082,26826900
2022-09-20,236.56512451171875,237.59939325821156,233.82333267549006,236.19435819350156,26660300
2022-09-21,233.1500701904297,241.6486627940409,233.10128084045706,238.3409473483979,28625600
2022-09-22,235.1308135986328,237.94091362050094,231.8035940706636,232.0963004159245,31061200
2022-09-23,232.1450653076172,235.27715686765256,229.49108554182823,233.72573895914633,34176000
2022-09-26,231.68649291992188,235.58940293714832,231.14983981486918,231.29620787356728,27694200
2022-09-27,230.67172241210938,235.93089259844146,228.80807947091677,234.1550615516291,27018700
2022-09-28,235.2186279296875,236.4480391799153,229.03250446546224,231.06201938613802,29029700
2022-09-29,231.73529052734375,234.12582002036274,228.72029600486158,233.0915512111038,27484200
2022-09-30,227.2469482421875,234.70150638460396,227.0810763396028,232.50611932172504,35694800
2022-10-03,234.89663696289062,235.74551509921386,228.96421214667737,229.696007750658,28880400
2022-10-04,242.83905029296875,244.28312273696628,239.03370433981988,239.1410349538722,34888400
2022-10-05,243.15130615234375,244.4978149559621,238.1751045052875,240.01922900708513,20347100
2022-10-06,240.7997589111328,244.2635941648011,240.10700079345034,241.9120875535179,20239900
2022-10-07,228.55442810058594,235.46258098438113,227.5103924691174,235.0527623090089,37769600
2022-10-10,223.68551635742188,228.86662669875534,221.2266790317585,227.39328361932908,29743600
2022-10-11,219.938720703125,223.50011982084274,218.6702720829725,222.09506995780728,30474000
2022-10-12,220.2705078125,222.3292936637816,218.5239619426553,219.92899719385608,21903900
2022-10-13,228.55442810058594,230.36928195046792,213.81118413238516,214.5137091638505,42551800
2022-10-14,223.01229858398438,231.48162192093224,222.7976373202271,229.82287308491303,30198600
2022-10-17,231.76454162597656,233.15983963119882,229.43255359972767,230.09605601233935,28142300
2022-10-18,232.71099853515625,238.00919148115057,229.65696682991847,237.33595204197528,26329600
2022-10-19,230.7400360107422,233.7940678630011,228.60319039452398,231.2864410309145,19985700
2022-10-20,230.4180450439453,235.45280255812088,229.16911502485962,230.04727871505503,21811000
2022-10-21,236.24313354492188,237.10177849471148,228.80809488481415,229.04227484068946,26299700
2022-10-24,241.2486572265625,241.82433295673317,235.44308078868355,237.84336242802192,24911200
2022-10-25,244.5758514404297,244.94661775526365,239.8630859691524,241.25836910616306,34775500
2022-10-26,225.70529174804688,232.51586550821546,224.47586557326218,225.55892369044773,82543200
2022-10-27,221.2462158203125,228.01776721146956,220.29975893201416,225.4320803427003,40424600
2022-10-28,230.14483642578125,230.85712820733676,220.5632002940726,220.7485908978084,40647700
2022-10-31,226.49563598632812,229.21790924031464,225.53941228860307,228.08606173387716,28357300
2022-11-01,222.6317596435547,230.01802455406033,221.81215205141078,228.9056957108875,30592300
2022-11-02,214.75762939453125,225.68577445191593,214.69907323807044,223.8904394193755,38407000
2022-11-03,209.04962158203125,215.06010669058617,208.78617098234167,214.74786673711404,36633900
2022-11-04,216.01632690429688,216.21146944131505,208.2495288682356,212.26953659523167,36789100
2022-11-07,222.33901977539062,222.86592096080787,215.90897914921476,216.60175222236109,33498000
2022-11-08,223.31475830078125,226.02727968287536,220.35830503261087,223.1488864048599,28192500
2022-11-09,219.0605926513672,223.08060038720865,218.88496883419077,221.85117411328872,27852900
2022-11-10,237.082275390625,237.42378598771606,229.29597372810505,229.7155294272081,46268000
2022-11-11,241.1120147705078,241.97065970506623,236.05773875356564,237.0920223740199,34620200
2022-11-14,235.68699645996094,237.9897141104271,233.40379752956565,236.11631897099343,31123300
2022-11-15,236.09681701660156,241.00472582925718,234.20390302267765,239.69725437166392,31390100
2022-11-16,236.5272979736328,238.55275301784232,235.24549518389762,237.5644814544757,24093300
2022-11-17,236.47837829589844,238.01459476890207,232.51555731599112,232.6623229336254,23123500
2022-11-18,236.0282745361328,238.49404129362665,233.8854070506041,238.26898078474412,27613500
2022-11-21,236.8404083251953,239.40401380150684,235.9989173392521,236.23374231089764,26394700
2022-11-22,239.75624084472656,240.03021323626953,235.5292275677956,238.34723144229108,19665700
2022-11-23,242.25140380859375,242.93633491013367,239.0126464403006,239.83456376214852,19508500
2022-11-25,242.16331481933594,243.34726380782502,241.4196626311513,241.98718116883774,9200800
2022-11-28,236.55665588378906,241.34140906534282,235.61732607964368,240.78368479357738,24778200
2022-11-29,235.15744018554688,237.56448586876186,233.08307318531638,236.20440308326351,17956300
2022-11-30,249.64866638183594,249.83457943435548,234.6975363093542,235.39226167449928,47594200
2022-12-01,249.2083740234375,250.60758932902792,245.519510598115,248.4060155091771,26041500
2022-12-02,249.53128051757812,250.54889032100806,244.31599481535082,244.44320163967146,21528500
2022-12-05,244.8150177001953,248.35711568212665,242.72107687347514,246.5860592259716,23435300
2022-12-06,239.8443145751953,246.4392559506149,238.5331587756001,245.42164628251712,22463700
2022-12-07,239.11048889160156,240.86197158934914,236.99698930720933,239.56059501119066,20481500
2022-12-08,242.07525634765625,243.38642715920767,237.8286688296212,239.57035707306187,22611800
2022-12-09,240.1378936767578,242.9656924353559,238.9050176716509,239.4333888365886,20609700
2022-12-12,247.07528686523438,247.10463998852305,241.8502218945569,242.12419433216994,30665100
2022-12-13,251.39035034179688,258.23969006008065,247.6232075245905,256.0576753713854,42196900
2022-12-14,251.68394470214844,256.93836328433855,248.83657203555336,251.5958853241002,35410900
2022-12-15,243.65061950683594,248.728918924476,242.01656425839232,248.25925401561503,35560400
2022-12-16,239.42361450195312,244.46276665797367,238.26900351655553,243.20053750203124,86102000
2022-12-19,235.2748565673828,239.93241792766776,233.57231567315546,239.58994491104272,29696400
2022-12-20,236.5957794189453,237.68188965983484,233.28852185237824,234.24742528520702,25150800
2022-12-21,239.16917419433594,240.3335644481044,234.94216046535638,236.48815622889643,23690600
2022-12-22,233.06350708007812,236.7817237519787,228.836478039085,236.06742458351349,28651700
2022-12-23,233.5918426513672,233.72882885328278,228.9049437361909,231.02823733107095,21207000
2022-12-27,231.8599853515625,233.78757187810967,230.75430123545564,233.56252628177612,16688600
2022-12-28,229.4822540283203,234.5605530300066,229.1300016429323,231.7914607924466,17457100
2022-12-29,235.82281494140625,236.7132328912707,230.57817587734075,230.57817587734075,19770700
2022-12-30,234.65841674804688,234.7954029631969,231.56642511422905,233.0830678086328,21938500
2023-01-03,234.42356872558594,240.46077124140547,232.29048067163205,237.84823891620616,25740000
2023-01-04,224.1691436767578,227.8579921549362,221.0967257126789,227.28069416142324,50623400
2023-01-05,217.52529907226562,222.65252580322002,216.98713353927943,222.31005275576163,39585600
2023-01-06,220.08889770507812,220.90103567706186,214.62900736635714,218.20044363304228,43613600
2023-01-09,222.2317352294922,226.26307141609416,221.53702478368263,221.57615730202494,27369800
2023-01-10,223.92453002929688,226.33157576127422,222.43724039296023,222.85797845401495,27033900
2023-01-11,230.69558715820312,230.87170589795403,226.1358795554185,226.31199829516942,28669300
2023-01-12,233.37660217285156,234.73668494527053,228.53314279943885,230.1965511287431,27269500
2023-01-13,234.0811004638672,234.21808667704465,229.8638660470709,231.8991004502628,21333300
2023-01-17,235.177001953125,235.72494679850365,231.98715671264935,232.8482214298885,29831300
2023-01-18,230.73471069335938,237.16331319071614,230.4509588691296,236.37074903194667,30028700
2023-01-19,226.938232421875,230.4509772666671,225.71513580011168,228.74842139423623,28623000
2023-01-20,235.0498046875,235.5586170347546,229.46269305633442,229.80516606379726,35389800
2023-01-23,237.35899353027344,239.89324581557503,234.49204766030977,235.91085150015493,31934000
2023-01-24,236.83065795898438,238.69955333391806,235.26510311269504,237.28076412215026,40234400
